[64, 113]
[65, 113]
[66, 113]
[67, 113]
[66, 113]
[67, 113]
[68, 113]
[69, 113]
[70, 113]
[71, 113]
[72, 113]
[73, 113]
[74, 113]
[74, 112]
[75, 112]
[76, 112]
[77, 112]
[78, 112]
[79, 112]
[79, 113]
[80, 113]
[81, 113]
[82, 113]
[83, 113]
[84, 113]
[85, 113]
[86, 113]
[87, 113]
[88, 113]
[89, 113]
[90, 113]
[91, 113]
[92, 113]
[93, 113]
[94, 113]
[95, 113]
[96, 113]
[97, 113]
[98, 113]
[99, 113]
[100, 113]
[101, 113]
[102, 113]
[103, 113]
[104, 113]
[105, 113]
[106, 113]
[107, 113]
[108, 113]
[109, 113]
[110, 113]
[109, 113]
[110, 113]
[111, 113]
[112, 113]
[113, 113]
[114, 113]
[114, 112]
[115, 112]
[114, 112]
[115, 112]
[116, 112]
[117, 112]
[118, 112]
[119, 112]
[120, 112]
[121, 112]
[122, 112]
[123, 112]
[124, 112]
[125, 112]
[126, 112]
[127, 112]
[128, 112]
[129, 112]
[130, 112]
[131, 112]
[132, 112]
[133, 112]
[134, 112]
[135, 112]
[136, 112]
[137, 112]
[137, 113]
[136, 113]
[137, 113]
[137, 114]
[138, 114]
[138, 115]
[138, 116]
[138, 117]
[138, 118]
[138, 119]
[138, 120]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 122]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[139, 121]
[139, 120]
[140, 120]
[140, 119]
[139, 119]
[138, 119]
[138, 120]
[138, 121]
[138, 120]
[138, 121]
[138, 120]
[138, 121]
[137, 121]
