[241, 186]
[240, 186]
[239, 186]
[238, 186]
[237, 186]
[236, 186]
[235, 186]
[234, 186]
[233, 186]
[232, 186]
[231, 186]
[230, 186]
[229, 186]
[228, 186]
[227, 186]
[226, 186]
[226, 187]
[225, 187]
[224, 187]
[223, 187]
[222, 187]
[221, 187]
[220, 187]
[219, 187]
[218, 187]
[217, 187]
[216, 187]
[215, 187]
[214, 187]
[213, 187]
[212, 186]
[211, 187]
[210, 188]
[209, 189]
[208, 190]
[207, 191]
[206, 192]
[205, 193]
[204, 194]
[203, 195]
[202, 196]
[201, 197]
[200, 198]
[199, 198]
[198, 199]
[197, 200]
[196, 201]
[195, 202]
[194, 203]
[193, 204]
[192, 205]
[191, 206]
[191, 205]
[190, 206]
[190, 205]
[189, 206]
[189, 205]
[188, 206]
[188, 205]
[187, 206]
[187, 205]
[186, 206]
[185, 206]
[185, 205]
[185, 204]
[184, 205]
[183, 206]
[183, 205]
[182, 206]
[183, 206]
[183, 205]
[183, 204]
[182, 204]
[182, 203]
[182, 202]
[182, 201]
[182, 200]
[182, 199]
[182, 198]
[182, 197]
[182, 196]
[182, 195]
[182, 194]
[182, 193]
[182, 192]
[181, 192]
[182, 192]
[181, 192]
[180, 192]
[181, 191]
[180, 191]
[179, 191]
[180, 190]
[179, 190]
[178, 190]
[177, 190]
[176, 190]
[175, 190]
[174, 190]
[173, 190]
[172, 190]
[171, 190]
[170, 190]
[169, 190]
[168, 190]
[167, 190]
[166, 190]
[165, 190]
[164, 190]
[163, 190]
[162, 190]
[161, 190]
[160, 191]
[159, 191]
[158, 191]
[157, 191]
[157, 190]
[156, 190]
[157, 191]
[156, 191]
[157, 192]
[156, 192]
[157, 193]
[156, 193]
[157, 194]
[156, 194]
[157, 195]
[156, 195]
[157, 196]
[156, 196]
[157, 197]
[156, 197]
[157, 198]
[156, 198]
[157, 199]
[156, 199]
[157, 200]
[156, 200]
[157, 201]
[156, 201]
[157, 202]
[156, 202]
[157, 203]
[156, 203]
[157, 204]
[156, 204]
[157, 205]
[156, 205]
[157, 206]
