[42, 5]
[43, 5]
[44, 5]
[43, 5]
[44, 5]
[45, 5]
[46, 5]
[47, 5]
[48, 5]
[49, 5]
[50, 5]
[51, 5]
[52, 5]
[53, 5]
[54, 5]
[55, 5]
[54, 6]
[55, 6]
[56, 6]
[57, 6]
[58, 6]
[59, 7]
[60, 7]
[61, 7]
[62, 7]
[63, 7]
[62, 8]
[63, 8]
[64, 8]
[65, 8]
[66, 8]
[67, 8]
[68, 9]
[69, 9]
[70, 9]
[71, 9]
[71, 10]
[72, 10]
[73, 10]
[74, 10]
[75, 10]
[76, 10]
[77, 9]
[78, 9]
[79, 9]
[80, 9]
[79, 9]
[78, 9]
[79, 9]
[80, 10]
[81, 10]
[82, 10]
[83, 10]
[83, 11]
[83, 12]
[83, 13]
[83, 14]
[84, 13]
[84, 14]
[84, 15]
[84, 16]
[84, 17]
[84, 18]
[84, 19]
[84, 20]
[84, 21]
[84, 22]
[84, 23]
[84, 24]
[85, 24]
[85, 25]
[85, 26]
[85, 27]
[85, 28]
[85, 29]
[85, 30]
[85, 31]
[85, 32]
[84, 32]
[84, 33]
[84, 34]
[84, 35]
[84, 36]
[84, 37]
[84, 38]
[84, 39]
[84, 40]
[84, 41]
[84, 42]
[84, 43]
[84, 44]
[84, 45]
[85, 44]
[85, 45]
[85, 46]
[86, 47]
[86, 48]
[86, 49]
[86, 50]
[86, 51]
[86, 52]
[86, 53]
[86, 54]
[86, 55]
[86, 56]
[86, 57]
[86, 58]
[86, 59]
[86, 60]
[86, 61]
[86, 62]
[86, 63]
[86, 64]
[86, 65]
[86, 66]
[86, 67]
[86, 68]
[86, 69]
[86, 70]
[86, 71]
[86, 72]
[87, 71]
[87, 72]
[87, 73]
[87, 74]
[87, 75]
[87, 76]
[87, 77]
[87, 78]
[86, 78]
[86, 79]
[86, 80]
[86, 81]
[86, 82]
[86, 83]
[86, 84]
[86, 85]
[86, 86]
[86, 87]
[86, 88]
[86, 89]
[87, 89]
[87, 90]
[87, 91]
[87, 92]
[87, 93]
[87, 94]
[87, 95]
[87, 96]
[87, 97]
[87, 98]
[87, 99]
[87, 100]
[87, 101]
[87, 102]
[87, 103]
[87, 104]
[86, 104]
[86, 105]
[86, 106]
[86, 107]
[86, 108]
[86, 109]
[86, 110]
[86, 111]
[86, 112]
[85, 111]
[85, 112]
[84, 111]
[84, 112]
[83, 111]
[83, 112]
